Probeta;ID-3;ID-4;Fecha;Colada Nº;Calidad;Cantidad PF/ Detalle;Cantidad Aros / Detalle;C;Si;Mn;P;S;Cr;Ni;Mo;Cu;V
H 760;;CARRERA;17/08/2010;1021 F H1;WCB;;;0,198;0,393;0,94;0,019;0,01;0,109;0,047;0,016;0,031;0,003
H 760;GIACOMETTI;CARRERA;19/08/2010;166 F H1;WCB;;MOD TELGOPOR(2);0,243;0,54;0,84;0,022;0,016;0,06;0,044;0,013;0,023;0,004
H 760;LT ING;CARRERA;19/08/2010;1033 F H1;WCB;PLACA ENG(8);;0,213;0,488;0,92;0,017;0,009;0,161;0,109;0,036;0,022;0,005
H 761;;CARRERA;17/08/2010;1021 F H1;WCB;;;0,198;0,393;0,94;0,019;0,01;0,109;0,047;0,016;0,031;0,003
H 761;;CRIS;18/08/2010;156 F H4;WCB;;;0,204;0,41;0,88;0,017;0,014;0,065;0,044;0,014;0,026;0,001
H 761;AR1450#2/H760#4H761#2/H761#3;CARRERA;18/08/2010;158 F H3;WCB;;;0,224;0,53;0,86;0,023;0,011;0,102;0,059;0,015;0,023;0,003
H 761;;CRIS;23/08/2010;177 F H3;WCB;;;0,194;0,363;0,87;0,016;0,009;0,342;0,146;0,031;0,029;0,004
H 761;;CARRERA;01/09/2010;1098 F  H2;WCB;BTE E2-900;VOL E8-150;0,219;0,59;1,01;0,025;0,012;0,08;0,036;0,019;0,016;0,003
H 762;;CARRERA;01/09/2010;1098 F  H2;WCB;CPO E2-900;VOL E8-150;0,219;0,59;1,01;0,025;0,012;0,08;0,036;0,019;0,016;0,003
H 762;;CRIS;23/08/2010;177 F H3;WCB;;;0,194;0,363;0,87;0,016;0,009;0,342;0,146;0,031;0,029;0,004
H 762;AR1450#2/H760#4H761#2/H761#3;CARRERA;18/08/2010;158 F H3;WCB;;;0,224;0,53;0,86;0,023;0,011;0,102;0,059;0,015;0,023;0,003
H 763;GIACOMETTI;CARRERA;19/08/2010;166 F H1;WCB;;MOD TELGOPOR(2);0,223;0,54;0,554;0,022;0,016;0,06;0,044;0,013;0,023;0,004
H 763;;CRIS;23/08/2010;177 F H3;WCB;;;0,194;0,363;0,87;0,016;0,009;0,342;0,146;0,031;0,029;0,004
H 763;LIDERAR;CRIS;02/09/2010;223 F H3;WCB;PLACAS(2);;0,237;0,476;0,78;0,029;0,014;0,054;0,041;0,015;0,023;0,002
H 764;LT ING;CARRERA;19/08/2010;1033 F H1;WCB;PLACA ENG(8);;0,213;0,488;0,92;0,017;0,009;0,161;0,109;0,036;0,022;0,005
H 764;GIACOMETTI;CARRERA;19/08/2010;166 F H1;WCB;;MOD TELGOPOR(2);0,243;0,54;0,84;0,022;0,016;0,06;0,044;0,013;0,023;0,004
H 766;;CRIS;26/08/2010;193 F H3;WCB;2 CAJAS;;0,197;0,421;0,91;0,026;0,025;0,057;0,067;0,019;0,102;0,004
H 767;;CARRERA;20/08/2010;1040 F H1;WCB;PZAS(4);PRENSA E12-150(4 PANES;0,23;0,414;0,89;0,021;0,012;0,339;0,048;0,014;0,026;0,008
H 768;;CRIS;02/09/2010;222 F H3;WCB;;;0,212;0,468;0,9;0,036;0,015;0,05;0,045;0,017;0,017;0,002
H 769;;CRIS;02/09/2010;222 F H3;WCB;;;0,212;0,468;0,9;0,036;0,015;0,05;0,045;0,017;0,017;0,002
H 770;;CARRERA;02/09/2010;227 F H3;WCB;CPO R4-900(2);;0,215;0,55;0,89;0,019;0,013;0,062;0,039;0,015;0,019;0,002
H 771;COSTA OC 145;CRIS;03/09/2010;1110 F H1;WCB;CPO R4-900(1)-BALANCINES(8);252X160X250(2);0,211;0,439;0,74;0,016;0,012;0,214;0,059;0,013;0,016;0,003
H 772;TROSARELLO;CARRERA;03/09/2010;233 F H3;WCB;;BRIDA FIJA(11)-BRIDA GIRATORIA;0,193;0,483;0,93;0,017;0,013;0,117;0,05;0,018;0,025;0,003
H 773;;CARRERA;03/09/2010;232 F H3;WCB;CPO R4-900;;0,202;0,53;0,89;0,017;0,013;0,121;0,054;0,017;0,022;0,002
H 774;;CRIS;15/09/2010;272 F H3;WCB;CPO R4-900(2);;0,236;0,459;0,83;0,013;0,019;0,099;0,057;0,02;0,066;0,003
H 775;FABRIMAC;CARRERA;15/09/2010;271 F H3;WCB;CPO R4-900(1);12 CAJAS;0,212;0,406;0,91;0,014;0,021;0,045;0,034;0,016;0,057;0,002
H 775;FABRIMAC;CARRERA;15/09/2010;1163 F H1;WCB;CPO R4-900(1);3 CAJAS;0,246;0,57;0,97;0,011;0,016;0,078;0,032;0,017;0,052;0,002
H 776;;CRIS;16/09/2010;279 F H3;WCB;CPO 4-900;;0,234;0,44;0,69;0,013;0,014;0,053;0,044;0,014;0,053;0,002
H 777;;CARRERA;15/09/2010;271 F H3;WCB;CPO R4-900(2);;0,212;0,406;0,91;0,014;0,021;0,045;0,034;0,016;0,057;0,002
H 778;;CRIS;16/09/2010;279 F H3;WCB;CPO 4-900;;0,234;0,44;0,69;0,013;0,014;0,053;0,044;0,014;0,053;0,002
H 779;;CARRERA;31/08/2010;219 F H3;WCB;TPA R4-900(4);VOL E12-150(1);0,237;0,55;0,93;0,019;0,015;0,09;0,05;0,015;0,034;0,003
H 779;;CRIS;01/09/2010;1093 F H2;WCB;TPA R4-900;VOL 24"-ANILLO 2.5-150-VOL 6-3;0,244;0,475;0,79;0,027;0,017;0,165;0,094;0,025;0,032;0,003
H 779;;CARRERA;02/09/2010;225 F H3;WCB;TPA R4-900(4);;0,242;0,481;0,85;0,025;0,013;0,083;0,042;0,014;0,022;0,002
H 779;;CRIS;01/09/2010;1090 F H2;WCB;TPA R4-900;8 BALANCINES;0,206;0,448;0,76;0,028;0,013;0,268;0,111;0,031;0,025;0,003
H 779;;CRIS;02/09/2010;1101 F H2;WCB;;;0,212;0,52;0,92;0,03;0,011;0,043;0,037;0,016;0,017;0,001
H 781;;CARRERA;01/09/2010;1096 F H2;WCB;6 CAJAS;;0,214;0,59;0,96;0,028;0,014;0,054;0,042;0,016;0,02;0,002
H 781;;CRIS;01/09/2010;1092 F H2;WCB;CLAPETA R4-900;;0,239;0,448;0,97;0,028;0,014;0,082;0,046;0,021;0,032;0,002
H 781;;CRIS;01/09/2010;1094 F H2;WCB;2 CAJAS;ANILLO 2.5-150(5 CAJAS)-BALANC;0,21;0,484;0,87;0,024;0,011;0,063;0,041;0,018;0,019;0,002
H 781;TROSARELLO;CARRERA;03/09/2010;1111 F H1;WCB;BISAGRA C4-900(15 CAJAS);BRIDA FIJA(30)-*BRIDA GIRATORI;0,217;0,59;0,93;0,014;0,012;0,061;0,043;0,013;0,044;0,002
H 781;TROSARELLO;CARRERA;03/09/2010;233 F H3;WCB;BISAGRA C4-900(9);BRIDA FIJA(11)-BRIDA GIRATORIA;0,193;0,483;0,93;0,017;0,013;0,117;0,05;0,018;0,025;0,003
H 781;;CRIS;02/09/2010;1100 F H2;WCB;;BALANCINES(8);0,19;0,471;0,89;0,03;0,012;0,089;0,045;0,016;0,018;0,002
H 782;;CRIS;31/08/2010;1083 F H2;WCB;CPO G3-300(2);;0,243;0,384;0,87;0,017;0,011;0,065;0,04;0,016;0,02;0,006
H 782;;CRIS;01/09/2010;1094 F H2;WCB;1 CAJA;ANILLO 2.5-150(5 CAJAS)-BALANC;0,21;0,484;0,87;0,024;0,011;0,063;0,041;0,018;0,019;0,002
H 782;COMNAC(A27N2);CRIS;30/09/2010;348 F H3;WCB;;MC-TROMPA-ACA-VOL E4-150;0,211;0,462;0,95;0,017;0,015;0,052;0,044;0,021;0,027;0,005
H 782;H782#1/AR1447#4/AR1446#2;CARRERA;30/08/2010;1082 F H2;WCB;;;0,249;0,59;1;0,018;0,013;0,173;0,066;0,019;0,022;0,006
H 784;;CARRERA;01/09/2010;1097 F H2;WCB;TRABA CANON#48/VTE E 12-150#1;BALANCIN(4);0,22;0,62;0,96;0,026;0,013;0,044;0,035;0,018;0,018;0,002
H 784;;CRIS;02/09/2010;1099 F H2;WCB;;;0,215;0,498;0,95;0,027;0,012;0,066;0,039;0,017;0,018;0,002
H 785;;CARRERA;31/08/2010;216 F H3;WCB;TPA R3-150 930);;0,208;0,41;0,87;0,022;0,015;0,088;0,052;0,019;0,028;0,003
H 786;ROSSMET;CARRERA;09/09/2010;1137 F H1;WCB;CPO R3-150(2);ARO N 1(12);0,239;0,52;0,69;0,017;0,013;0,205;0,048;0,015;0,018;0,004
H 786;;CARRERA;07/09/2010;237 F H4;WCB;CPO R3-150(2);;0,216;0,54;0,82;0,018;0,014;0,09;0,037;0,015;0,025;0,003
H 786;;CARRERA;07/09/2010;237 F H4;WCB;CPO R4-900(1);;0,216;0,54;0,82;0,018;0,014;0,09;0,037;0,015;0,025;0,003
H 787;;CARRERA;08/09/2010;246 F H4;WCB;CPO R3-150(2);;0,208;0,56;0,9;0,018;0,01;0,066;0,038;0,017;0,02;0,005
H 787;;CARRERA;08/09/2010;1129 F H1;WCB;CPO R3-150;;0,219;0,53;0,97;0,024;0,013;0,094;0,04;0,016;0,016;0,002
H 787;;CRIS;08/09/2010;1123 F H1;WCB;CPO R3-150(PARCIAL);;0,247;0,403;0,82;0,023;0,011;0,101;0,046;0,02;0,033;0,003
H 789;;CRIS;09/09/2010;1131 F H1;WCB;;;0,217;0,56;1,01;0,024;0,013;0,063;0,046;0,016;0,021;0,004
H 789;;CARRERA;08/09/2010;246 F H4;WCB;CPO R4-150;;0,208;0,56;0,9;0,018;0,01;0,066;0,038;0,017;0,02;0,005
H 790;;CRIS;08/09/2010;1123 F H1;WCB;CPO R4-150(PARCIAL);;0,247;0,403;0,82;0,023;0,011;0,101;0,046;0,02;0,033;0,003
H 790;SIDERAR-SYLWAN;CARRERA;08/09/2010;1122 F H1;WCB;PRENSA E12-150(20);PALANCA 280X1000-BRIDA CUPLA C;0,205;0,474;0,88;0,018;0,014;0,104;0,05;0,019;0,026;0,003
H 790;;CRIS;09/09/2010;1132 F H1;WCB;;;0,212;0,494;0,95;0,024;0,014;0,066;0,048;0,016;0,023;0,004
H 791;ROSSMET-FACCIOLI;CARRERA;09/09/2010;252 F H4;WCB;CPO R4-150(2);ARO N 1(4);0,24;0,58;0,74;0,021;0,016;0,073;0,048;0,015;0,027;0,003
H 791;ROSSMET-FACCIOLI;CARRERA;10/09/2010;1138 F H1;WCB;CPO R4-150(1)-VOL(10);TRABA CANOS(12 CAJAS);0,23;0,53;0,85;0,016;0,012;0,083;0,046;0,016;0,02;0,002
H 792;;CARRERA;31/08/2010;216 F H3;WCB;CLAPETA R4-150/300;;0,208;0,41;0,87;0,022;0,015;0,088;0,052;0,019;0,028;0,003
H 792;;CRIS;31/08/2010;1083 F H2;WCB;TPA R4-150;;0,243;0,384;0,87;0,017;0,011;0,065;0,04;0,016;0,02;0,006
H 792;;CARRERA;30/08/2010;1081 F H2;WCB;3 CAJAS-T REG(12);VTE E 4-150(35)-VOL E2-150(24);0,221;0,55;0,79;0,018;0,013;0,279;0,068;0,017;0,026;0,005
H 793;;CARRERA;19/10/2010;429 F H4;WCB;CPO R2-150/600 ROSC(8);;0,2;0,55;0,89;0,015;0,012;0,079;0,049;0,02;0,033;0,002
H 793;FRANCUCCI;CARRERA;18/10/2010;422 F H4;WCB;CPO R2-150/600 ROSC(4);MAZA MOLINETE(4 CAJAS)-VOL E6-;0,227;0,6;0,81;0,015;0,011;0,044;0,037;0,017;0,014;0,005
H 793;;CARRERA;18/10/2010;421 F H4;WCB;CPO R2-150/600 ROSC(16);;0,203;0,443;0,88;0,013;0,01;0,072;0,048;0,02;0,025;0,002
H 794;;CARRERA;19/10/2010;429 F H4;WCB;CPO R2-150/600 ROSC(20);;0,2;0,55;0,89;0,015;0,012;0,079;0,049;0,02;0,033;0,002
H 795;;CARRERA;19/10/2010;1324 F H1;WCB;CPO R2-150/600 ROSC(24);;0,182;0,445;0,74;0,015;0,011;0,337;0,086;0,02;0,023;0,003
H 795;;CARRERA;19/10/2010;429 F H4;WCB;CPO R2-150/600 ROSC(4);;0,2;0,55;0,89;0,015;0,012;0,079;0,049;0,02;0,033;0,002
H 796;;GUS;23/10/2010;451FH3;WCB;CPO R2-150/600;VOL E10-150;0,237;0,411;0,78;0,018;0,017;0,111;0,078;0,014;0,02;0,004
H 798;;CRIS;28/10/2010;1362 F H2;WCB;PARCIAL;;0,209;0,396;1,01;0,017;0,011;0,136;0,067;0,017;0,027;0,003
H 798;PETINARI;CARRERA;28/10/2010;1366 F H2;WCB;TPA R2-150-600(36);PTA DE LANZA(48)-MOD 457;0,195;0,434;0,88;0,013;0,01;0,202;0,063;0,013;0,025;0,004
H 799;;CARRERA;14/09/2010;1161 F H1; WCB;CPO  2.5-300-PUNTA DE LANZA#12;;0,231;0,56;0,85;0,02;0,051;0,063;0,049;0,016;0,065;0,003
H 799;WHELL-AMRO;CARRERA;14/09/2010;1160 F H1;WCB;CPO N2.5-300(6);GARGANTA(8)-SEGURO DE GANCHO(5;0,2;0,5;1,03;0,018;0,03;0,07;0,039;0,018;0,056;0,002
H 800;;CARRERA;14/09/2010;1161 F H1; WCB;CPO  2.5-300-PUNTA DE LANZA#12;;0,231;0,56;0,85;0,02;0,051;0,063;0,049;0,016;0,065;0,003
H 800;;CRIS;14/09/2010;1157 F H1;WCB;CPO R2.5-300;;0,221;0,57;0,94;0,013;0,02;0,058;0,037;0,016;0,065;0,002
H 800;ITALEM;CARRERA;14/09/2010;1162 F H1;WCB;CPO 2.5-300(2)-BISAGRA C3-900(;;0,215;0,54;0,82;0,013;0,017;0,048;0,032;0,015;0,05;0,003
H 801;;CRIS;16/09/2010;279 F H3;WCB;TPA R2.5-150;;0,234;0,44;0,69;0,013;0,014;0,053;0,044;0,014;0,053;0,002
H 802;;CARRERA;15/09/2010;1170 F H1;CA15;CPO R2.5-150(40);;0,149;1;0,83;<0.001;0,006;13,1;0,123;0,026;0,115;0,086
H 802;;CARRERA;15/09/2010;1169 F H1;CA15;CPO R2.5-150(20);;0,137;0,93;0,87;0,017;0,009;13,23;0,156;0,025;0,068;0,086
H 802;FAVRA OC 51563;CRIS;04/10/2010;1259 F H2;CA15;CUNAS E6-600(5);337X290X330(1);0,14;0,96;0,56;0,017;0,011;13,61;0,177;0,025;0,06;0,077
H 802;GIRON OC 8688;CRIS;04/10/2010;1259 F H2;CA15;CUNAS E6-600(5);108X65X330;0,14;0,96;0,56;0,017;0,011;13,61;0,177;0,025;0,06;0,077
H 803;;CARRERA;13/09/2010;265 F H4;WCB;CPO R6-600(1);;0,173;0,499;0,85;0,012;0,013;0,079;0,038;0,024;0,054;0,01
H 804;;CARRERA;13/09/2010;266 F H4;WCB;CPO R6-600;;0,224;0,57;0,95;0,015;0,02;0,033;0,043;0,015;0,075;0,004
H 804;;CRIS;14/09/2010;1155 F H1;WCB;CPO R6-600;;0,191;0,49;0,91;0,01;0,017;0,074;0,033;0,016;0,068;0,002
H 804;;CRIS;15/09/2010;272 F H3;WCB;CPO R6-600;;0,236;0,459;0,83;0,013;0,019;0,099;0,057;0,02;0,066;0,003
H 805;ITALEM;CARRERA;14/09/2010;1162 F H1;WCB;CPO R6-600(1)-BISAGRA C3-900(;;0,215;0,54;0,82;0,013;0,017;0,048;0,032;0,015;0,05;0,003
H 806;FABRIMAC;CARRERA;15/09/2010;1163 F H1;WCB;TPA R6-600(4);3 CAJAS;0,246;0,57;0,97;0,011;0,016;0,078;0,032;0,017;0,052;0,002
H 810;;CARRERA;15/09/2010;1168 F H1;CA15;CUNA E12-150 F(6);;0,142;0,72;0,58;0,017;0,008;12,77;0,176;0,028;0,07;0,084
H 811;;CARRERA;04/10/2010;1260 F H2;CA15;PZAS(3);;0,143;1,1;0,76;0,017;0,008;12,05;0,214;0,025;0,068;0,071
H 811;;CARRERA;04/10/2010;1261 F H2;CA15;PZAS (3);;0,125;1,29;0,59;0,016;0,007;12,43;0,203;0,025;0,067;0,073
H 811;;CARRERA;21/09/2010;1199 F H2;CA15;6 PZAS;;0,142;1,06;0,49;0,017;0,009;13,26;0,24;0,03;0,072;0,084
H 812;;CARRERA;22/09/2010;1206 F H2;CA15;3 PIEZAS;;0,152;1,35;0,99;0,023;0,008;11,97;0,79;0,125;0,07;0,063
H 813;;CARRERA;18/10/2010;423 F H4;WCB;CPO F6-300(1);;0,211;0,53;0,8;0,017;0,012;0,086;0,053;0,015;0,019;0,004
H 813;SYLWAN;CRIS;19/10/2010;424 F H4;WCB;CPO F6-300(1);CABEZAL (1);0,212;0,461;0,78;0,015;0,011;0,069;0,046;0,013;0,016;0,004
H 813;;CARREA;20/10/2010;1332 F H1;WCB;TPA F6-300(2);;0,215;0,53;0,89;0,018;0,012;0,123;0,063;0,017;0,026;0,004
H 814;;CRIS;22/09/2010;1201 F H2;WCB;CPO F4-150;;0,227;0,393;1,02;0,017;0,01;0,071;0,039;0,015;0,019;0,004
H 815;;CRIS;24/09/2010;1214 F H2;WCB;TPA F4-1500;;0,224;0,5;0,88;0,017;0,014;0,069;0,045;0,014;0,025;0,003
H 815;;CRIS;22/09/2010;1200 F H2;WCB;TPA F8-150(1);PRENSA E3-300(80);0,221;0,55;0,9;0,017;0,012;0,204;0,045;0,018;0,061;0,007
H 815;;CRIS;23/09/2010;1210 F H2;WCB;TPA FILTRO;;0,234;0,456;0,88;0,015;0,012;0,101;0,052;0,017;0,025;0,003
H 816;VALMEC;CRIS;21/09/2010;301 F H3;WCB;CPO 6-150 BRIDA-CPO 6-150;CPO 6-150 BRIDADO-PLAQ SUP-OJA;0,232;0,427;0,78;0,015;0,016;0,061;0,053;0,016;0,038;0,003
H 816;;CRIS;22/09/2010;1200 F H2;WCB;TPA F8-150(2);PRENSA E3-300(80);0,221;0,55;0,9;0,017;0,012;0,204;0,045;0,018;0,061;0,007
H 829;;CARRERA;19/10/2010;1324 F H1;WCB;CUNA E10-150/300(5);;0,182;0,445;0,74;0,015;0,011;0,337;0,086;0,02;0,023;0,003
H 830;;CRIS;22/09/2010;308 F H3;CF8M;CPO E6-900;;0,061;0,67;0,85;0,021;0,012;17,87;9,5;2,08;0,319;0,072
H 830;;GUS;01/10/2010;356RH3;CF8M;;CPO E6-900(1);0,071;0,63;0,85;0,025;0,012;18,58;9,29;2,31;0,303;0,081
H 831;;CRIS;22/09/2010;308 F H3;CF8M;BTE E6-900;;0,061;0,67;0,85;0,021;0,012;17,87;9,5;2,08;0,319;0,072
H 832;THORSA;CARRERA;12/10/2010;1294 F H1;CF8M;CPO E4-150(3)-BTE E4-150(2);PRENSA E10-150(6 CAJAS);0,083;1,01;0,69;0,021;0,01;18,37;9,01;2,2;0,251;0,078
H 833;PRENSA E16-150/300;GUS;01/10/2010;356RH3;CF8M;;BTE E6-900-CUNA E6-900;0,071;0,63;0,85;0,025;0,012;18,58;9,29;2,31;0,303;0,081
H 833;;CRIS;05/10/2010;367 F H3;CF8M;CPO E6-900(1);;0,071;0,69;0,83;0,023;0,01;18,22;9,65;2,02;0,235;0,077
H 837;GIACOMETTI;CRIS;29/09/2010;339 F H3;WCB;GUIA EMBOQUE(4);SUPLEMENTO INFERIOR;0,224;0,405;0,81;0,017;0,011;0,042;0,04;0,012;0,015;0,003
H 843;;CARRERA;04/11/2010;1400 F H2;WCB;PZAS(1);;0,207;0,57;1,01;0,023;0,011;0,196;0,065;0,018;0,024;0,003
H 844;;CARRERA;04/11/2010;1400 F H2;WCB;PZAS(4);;0,207;0,57;1,01;0,023;0,011;0,196;0,065;0,018;0,024;0,003
H 844;FACCIOLI-AMRO;CRIS;05/11/2010;1401 F H2;WCB;CPO G3-300(1)-VOL;VOL E2-150(10)-PLAQ INF(18);0,152;0,5;1,05;0,031;0,012;0,072;0,05;0,016;0,024;0,002
H 845;;CARRERA;29/10/2010;1372 F H2;WCB;PZAS(4);;0,206;0,54;0,97;0,016;0,011;0,133;0,087;0,024;0,024;0,006
H 846;MAURES;CARRERA;03/11/2010;1391 F H2;CF8M;PZAS(2);PZAS(1);0,062;1,25;0,91;0,019;0,009;18,34;8,46;2,01;0,351;0,075
H 850;THORSA;CARRERA;12/10/2010;1294 F H1;CF8M;ANILLOS 4" 128X95X28;ANILLOS 226X194X37;0,083;1,01;0,69;0,021;0,01;18,37;9,01;2,2;0,251;0,078
H757;;CARRERA;09/09/2010;1136 F H1;CF8M;CPO RETENCION 2 1/2-150#7;;0,078;1,16;0,74;0,025;0,012;18,83;8,89;2,01;0,304;0,076
J 451;;CRIS;27/07/2010;58 F H3;WCB;CUNAS 980;;0,216;0,419;0,94;0,022;0,009;0,052;0,034;0,014;0,014;0,003
J 451;;RICHARD;26/07/2010;915F  H2;WCB;CUñA E 4"150(16)/VOLANTES E 10;;0,207;0,418;0,78;0,019;0,007;0,032;0,035;0,012;0,012;0,001
J 451;J451#16/AR1068#32/AR1817#2;CARRERA;20/07/2010;886 F H1;WCB;CUNA E4-150 FLEX(16);;0,234;0,447;0,87;0,021;0,014;0,051;0,032;0,014;0,022;0,002
J 451;J627/THORSA/TROSARELLO/GIRON;CARRERA;20/07/2010;887 F H1;WCB;ANILLOE3-900(9);;0,219;0,5;0,77;0,019;0,013;0,038;0,028;0,012;0,015;0,002
J 451;;RICHARD;22/07/2010;896F  H1;WCB;CUNA E4-150(6);;0,254;0,33;0,78;0,016;0,01;0,026;0,029;0,011;0,015;0,003
J 451;;CRIS;02/09/2010;1100 F H2;WCB;;BALANCINES(8);0,19;0,471;0,89;0,03;0,012;0,089;0,045;0,016;0,018;0,002
J 459;J459#48;CARRERA;06/07/2010;814 F H2;CA15;CUNA E4-150F(48);;0,14;0,62;0,67;0,021;0,008;13,29;0,216;0,048;0,115;0,092
J 459;;RICHARD;13/07/2010;837F  H1;CA15;CUNA E4-150(16);;0,142;0,5;0,73;0,027;0,008;13,74;0,499;0,024;0,067;0,08
J 460;GIRON OC 8688;CARRERA;09/09/2010;1135 F H1;CA15;139*95*350#8;CUNA E2-300(14);0,147;0,93;0,65;0,017;0,008;14;0,2;0,046;0,059;0,087
J 468;;CRIS;13/09/2010;263 F H4;WCB;;;0,241;0,417;0,65;0,016;0,012;0,042;0,035;0,016;0,027;0,008
J 468;;CRIS;14/09/2010;1158 F H1;WCB;;;0,211;0,472;0,98;0,012;0,018;0,057;0,032;0,018;0,063;0,001
J 476;;CRIS;05/08/2010;103 F H4;WCB;CUNA E3-150F(PARCIAL);;0,212;0,46;1,08;0,018;0,016;0,091;0,047;0,025;0,058;0,002
J 476;;CARRERA;05/08/2010;974 F H1;WCB;CUNA E3-150F(16);;0,199;0,394;0,81;0,015;0,016;0,065;0,02;0,017;0,064;0,002
J 476;;CRIS;05/08/2010;102 F H4;WCB;CUNA E3-15 F(PARCIAL);SOPORTE WHELL(16);0,222;0,452;0,95;0,019;0,014;0,158;0,06;0,035;0,046;0,003
J 476;LT ING;CARRERA;05/08/2010;973 F H1;WCB;CUNA E3-150 F(16);PLACA ENG940-PTERA DE LANZA(64;0,247;0,53;0,97;0,019;0,014;0,037;0,033;0,018;0,026;0,003
J 476;LT ING.PLACA DE ENGANCHE#8;CARRERA;27/07/2010;61 F H3;WCB;CUNA F E3-150(24)-VOL E2-150(1;PRENSA E14-150(5 PANES)-PLA QI;0,247;0,57;0,86;0,018;0,009;0,081;0,115;0,014;0,014;0,003
J 476;;CRIS;27/07/2010;58 F H3;WCB;CUNAS(20);;0,216;0,419;0,94;0,022;0,009;0,052;0,034;0,014;0,014;0,003
J 480;ITALEM;CARRERA;14/09/2010;1162 F H1;WCB;1 CAJA-BISAGRA C3-900(;;0,215;0,54;0,82;0,013;0,017;0,048;0,032;0,015;0,05;0,003
J 523;;CARRERA;26/08/2010;1067 F H2;WCB;CUNA E8-150 F (12);VOL E4-150(12);0,243;0,56;0,97;0,031;0,015;0,123;0,057;0,019;0,027;0,003
J 523;;CARRERA;30/08/2010;210 F H3;WCB;CAJAS(8);;0,247;0,54;0,76;0,016;0,011;0,087;0,054;0,014;0,025;0,005
J 536;LT ING;CARRERA;17/08/2010;1022 F H1;WCB;;CUNA E10-150(2)-PLACA ENG(8);0,206;0,449;0,95;0,017;0,012;0,134;0,046;0,016;0,035;0,002
J 541;FABRIMAQ;CARRERA;17/08/2010;1020 F H1;WCB;;2 CAJAS;0,18;0,56;0,94;0,025;0,013;0,211;0,053;0,015;0,022;0,003
J 541;HILLMANN;CRIS;18/08/2010;1023 F H1;WCB;;BRIDA-SUPLEMENTO INF;0,229;0,464;0,78;0,028;0,018;0,1;0,082;0,024;0,055;0,003
J 553;;CRIS;17/08/2010;1018 F H1;WCB;CPO C3-300(5);;0,201;0,455;0,86;0,022;0,021;0,079;0,064;0,017;0,06;0,003
J 561;;CRIS;14/08/2010;1014 F H1;WCB;CPO C3-300;;0,218;0,6;0,93;0,022;0,014;0,107;0,074;0,023;0,042;0,002
J 561;;CRIS;17/08/2010;1017 F H1;WCB;CPO C3-300(1);;0,223;0,388;1,02;0,025;0,022;0,083;0,086;0,023;0,063;0,003
J 562;FABRIMAQ;CARRERA;17/08/2010;1020 F H1;WCB;;2 CAJAS;0,18;0,56;0,94;0,025;0,013;0,211;0,053;0,015;0,022;0,003
J 562;;CARRERA;17/08/2010;1021 F H1;WCB;;;0,198;0,393;0,94;0,019;0,01;0,109;0,047;0,016;0,031;0,003
J 586;TULSA-LT BINGENIERIA-LODOB;CARRERA;16/07/2010;69 F H4;WCB;CUNA E12-150F(3)-CPO T COD 191;PLACA ENGANCHE(5)-GUIAS(4);0,18;0,499;0,98;0,023;0,012;0,13;0,033;0,016;0,018;0,003
J 586;LODOLO;;19/07/2010;77 F H4;WCB;CUNA E12-150F-GUIAS;VOL TROSARELLO-PRENSAS CANTARU;0,219;0,375;0,86;0,026;0,014;0,069;0,035;0,013;0,022;0,003
J 587;J587/VTE-2-150;CARRERA;05/07/2010;806 F H2;WCB;VOL E2-150;;0,216;0,53;0,78;0,018;0,012;0,334;0,048;0,017;0,024;0,007
J 593;J 593;J 631;06/07/2010;811 F H2;WCB;;;0,193;0,382;0,8;0,019;0,011;0,12;0,068;0,014;0,024;0,003
J 598;;CRIS;08/07/2010;30 F H3;WCB;CPO E16-150;;0,188;0,419;0,9;0,02;0,01;0,076;0,034;0,017;0,019;0,007
J 599;J599/PLACA ENG./TROSARELLO;CARRERA;08/07/2010;29 F H3;WCB;CPO E16-150-PLACA DE ENG;;0,213;0,479;0,92;0,018;0,009;0,113;0,031;0,025;0,017;0,008
J 600;;CRIS;09/07/2010;32 F H3;WCB;CPO E16-150;;0,213;0,383;0,99;0,018;0,011;0,05;0,029;0,015;0,018;0,005
J 601;;CRIS;09/07/2010;31 F H3;WCB;CPO E16-150;;0,209;0,415;0,88;0,018;0,012;0,047;0,03;0,015;0,018;0,005
J 602;COMNAC;CRIS;09/07/2010;33 F H3;WCB;CPO E16-150-TPA M185974/19;FABRIMAQ CRAPODINA;0,195;0,369;0,97;0,017;0,01;0,048;0,03;0,016;0,017;0,004
J 603;J603;CARRERA;12/07/2010;37 F H4;WCB;CPO E16-150(1);;0,213;0,453;0,87;0,016;0,016;0,047;0,029;0,014;0,043;0,003
J 604;;RICHARD;15/07/2010;57F  H4;WCB;CUERPO E 16"150(1);;0,189;0,458;0,85;0,026;0,015;0,048;0,035;0,016;0,023;0,003
J 605;;RICHARD;06/07/2010;808F  H2;WCB;TAPA E 16"150(2);;0,203;0,459;0,78;0,016;0,011;0,122;0,041;0,014;0,022;0,005
J 606;CIAMPO;J 607;07/07/2010;18 F H3;WCB;BTE E16-150(2);COJINETE P33(CIAMPO)(3);0,204;0,382;0,9;0,019;0,01;0,088;0,043;0,017;0,021;0,003
